Barcode,Call Number,Title,Author,Year,Edition,ISBN,Publication,Publisher,Collection Code,Physical Description,Note Area,Price
HS01422,FIC G529 1987,Joshua: a parable for today,"Girzone, Joseph F.",3467,,684813467,New York,Simon & Schuster,FIC,217p. ; 21 cm.,,
HS01424,FIC L9553g 2000,Gathering blue,"Lowry, Lois",9499,,440229499,New York,Dell Laurel-Leaf,FIC,215p. ; 18 cm.,,
HS01425,FIC L477k 1960 c.1.,To kill a mockingbird,"Lee, Harper",1960,,9780446310789,New York,Grand Central Publishing,FIC,376p. ; 18 cm.,,
HS01426,FIC L477k 1960 c.2.,To kill a mockingbird,"Lee, Harper",1960,,9780446310789,New York,Grand Central Publishing,FIC,376p. ; 18 cm.,,
HS01427,FIC L477k 1960 c.3.,To kill a mockingbird,"Lee, Harper",1960,,9780446310789,New York,Grand Central Publishing,FIC,376p. ; 18 cm.,,
HS01428,FIC L477k 1960 c.4.,To kill a mockingbird,"Lee, Harper",1960,,9780446310789,New York,Grand Central Publishing,FIC,376p. ; 18 cm.,,
HS01429,FIC R5858t 2007,The titan's curse,"Riordan, Rick",1482,,9781423101482,New York,Disney Hyperion Books,FIC,312p. ; 20 cm.,,
HS01430,FIC R5858m 2015,Magnus chase and the gods of asgard,"Riordan, Rick",9715,,9781484749715,New York,Disney Hyperion Books,FIC,"ix, 491 ; 21 cm.",,
HS01431,TR 371.2 P9238 2016,Successful school staffing strategies,"Pregot, Michael",6395,,9781475826395,Maryland,Rowman & Littlefield,TR,"xi, 119p. ; 23 cm.",,
HS01432,FIC R845d 2011,Divergent,"Roth, Veronica",4039,,9780062024039,New York,Katherine Tegen Books,FIC,487p. ; 21 cm.,,
HS01433,FIC R5858p 2015,Percy jackson's greek heroes,"Riordan, Rick",3655,,9781423183655,New York,Disney Hyperion Books,FIC,387p. : col. ill. ; 32 cm.,,
HS01434,FIC W4531 2012,The time machine,"Wells, H.G.",6450,,9780439436450,New York,Scholastic Inc.,FIC,123p. ; 18 cm.,,
